2024-09-14 11:36:35.600 +08:00 [INF] Main (StartingAsync) | Starting at: 2024/9/14 11:36:35 +08:00
2024-09-14 11:36:35.635 +08:00 [INF] Main (StartAsync) | Start at: 2024/9/14 11:36:35 +08:00
2024-09-14 11:36:35.638 +08:00 [INF] Main (StartedAsync) | Started at: 2024/9/14 11:36:35 +08:00
2024-09-14 11:36:35.639 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:35.639 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:36:35.639 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:39.429 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:36:39.429 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:39.429 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:36:39.429 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:39.660 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:36:49.673 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:49.673 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:36:49.673 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:49.702 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:36:59.711 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:59.711 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:36:59.711 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:36:59.723 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:37:09.728 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:09.729 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:37:09.729 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:09.736 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:37:19.736 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:19.736 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:37:19.736 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:19.775 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:37:29.777 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:29.778 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:37:29.778 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:29.787 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:37:39.790 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:39.791 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:37:39.791 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:39.797 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:37:39.797 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:39.797 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:37:39.797 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:39.810 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:37:49.823 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:49.823 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:37:49.823 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:49.833 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:37:59.845 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:59.845 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:37:59.845 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:37:59.852 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:38:09.846 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:09.846 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:38:09.846 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:09.859 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:38:19.860 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:19.860 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:38:19.860 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:19.881 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:38:29.887 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:29.887 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:38:29.887 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:29.908 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:38:39.927 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:39.928 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:38:39.928 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:39.956 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:38:39.956 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:39.956 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:38:39.956 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:39.975 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:38:49.974 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:49.974 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:38:49.974 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:49.994 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:38:59.994 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:38:59.994 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:38:59.994 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:00.018 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:39:10.031 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:10.031 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:39:10.032 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:10.059 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:39:20.062 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:20.062 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:39:20.062 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:20.070 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:39:30.084 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:30.084 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:39:30.084 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:30.104 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:39:40.110 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:40.110 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:39:40.110 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:40.120 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:39:40.120 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:40.120 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:39:40.120 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:40.145 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:39:50.145 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:50.145 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:39:50.145 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:39:50.157 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:40:00.166 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:00.166 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:40:00.166 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:00.180 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:40:10.180 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:10.180 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:40:10.180 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:10.195 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:40:20.190 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:20.190 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:40:20.190 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:20.201 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:40:30.208 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:30.208 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:40:30.208 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:30.229 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:40:40.241 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:40.241 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-09-14 11:40:40.241 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:40.250 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-09-14 11:40:40.250 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:40.250 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:40:40.250 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:40.267 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:40:50.272 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:50.273 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:40:50.273 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:40:50.292 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:41:00.294 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:00.294 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:41:00.294 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:00.307 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:41:10.316 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:10.316 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:41:10.316 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:10.325 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-09-14 11:41:20.331 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-09-14 11:41:20.331 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-09-14 11:41:20.331 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
